Gongyo de Ano Novo (Comem. 90º aniv. Pres. Ikeda) 10h - CCDI (c/ convite) + CC/SR ,01/01/2018,10:00:00 AM,,,,,Sede Regional Vila Prudente,,5D,,Todos,RM Vila Prudente
(Período de Recesso de Atividades),01/01/2018,,01/07/2018,,TRUE,,,,5D,,,
Resp. Comunidade acima – matéria do Grupo Coração das Mulheres Soka– 19 h -Neves Kaikan,01/10/2018,07:00:00 PM,,,,,Neves Kaikan,,DS,,Comunidade,RM Vila Prudente
Conselho líderes RM + Sub (RM's Vila Ema e Vila Prudente) - 19h30 as 20h30 - KK Vila Prudente,01/11/2018,07:30:00 PM,,08:30:00 PM,,,Sede Regional Vila Prudente,,5D,,RM,Sub
DAIMOKU TOSSU DOS LÍDERES DA REGIONAL INDUSTRIAL - 19:00,01/12/2018,07:00:00 PM,,,,Somente para Líderes de Regional,Manoel Kaikan,,5D,,Regional,Regional
Reunião de Líderes de Comunidade e acima da CCLP - 15hs - CCDI,01/14/2018,03:00:00 PM,,,,,CCDI,,5D,,Comunidade,CCLP
Mamorukai Educacional,01/15/2018,,,,,,Educacional,,DF,Mamorukai,,BSGI
Diálogo com Tikutans – 19:00 – Manoel Kaikan (Regional Industrial),01/15/2018,07:00:00 PM,,,,,Manoel Kaikan,,DF,,Comunidade,Regional Industrial
Reunião de Líderes Regional e Acima de Organização +Grupo Alvorada + Ohjokai + Campestre - Sede regional 19 horas.,01/15/2018,07:00:00 PM,,,,,Sede Regional Vila Prudente,,DS,,Regional,RM Vila Prudente
(Aula 1)  -  Curso de Capacitação para Líderes de RM da CCLP (Por inscrição) 19hs (Sala Fukuchi/ CCDI),01/16/2017,07:00:00 PM,,,,,Sala Fukuchi/ CCDI,,DS DF,,RM,CCLP
Reunião das comissões  para a Convenção Cultural da Regional Industrial,01/16/2018,07:00:00 PM,,,,,Manoel Kaikan,,5D,Comissões,,Regional
Diálogo líderes RM + Sub - 19h - KK Sonoda,01/17/2018,07:00:00 PM,,,,,Sonoda Kaikan,,DF,,RM,Sub
(Aula 2)  -  Curso de Capacitação para Líderes de RM da CCLP (Por inscrição) 19hs (Sala Fukuchi/ CCDI),01/18/2018,07:00:00 PM,,,,,Sala Fukuchi/ CCDI,,DS DF,,RM,CCLP
Mamorukai Josho,01/18/2018,07:00:00 PM,,,,,Josho,,DF,Mamorukai,,BSGI
Reunião de Líderes de Sub - 19h - Seinenkaikan,01/18/2018,07:00:00 PM,,,,,Seinenkaikan,,DMJ,,Sub,BSGI
HOMBUTYOKAI DA REGIONAL INDUSTRIAL - 19:00,01/19/2018,07:00:00 PM,,,,,Manoel Kaikan,,5D,,Regional,Regional
Diálogo líderes RM + Sub - 15h - local a confirmar,01/20/2018,03:00:00 PM,,,,,,,DFJ,,RM,Sub
DIA DO SUCESSOR IKEDA – POR LOCALIDADE,01/20/2018,,,,TRUE,,,,DE,,Todos,por Localidade
ENCONTRO DAS JOVENS ÁGUIAS – POR LOCALIDADE,01/20/2018,,,,,,,,DJ,DUNI,Todos,por Localidade
8a Academia dos Sucessores Ikeda 2030 da CGESP - representantes - CCCamp,01/20/2018,,,,TRUE,,,,DE,,Representantes,CGESP
8a Academia dos Sucessores Ikeda 2030 da CGESP - representantes - CCCamp,01/21/2018,,,,TRUE,,,,DE,,,
ACADEMIVIA DO GRUPO ALVORADA por Regional – Movimento de Visitas – 9:00 – Manoel Kaikan,01/21/2018,07:00:00 PM,,,,,,,DS,,,
REUNIÃO EM LINGUA JAPONESA - 13:45 HS - AUDITORIO MONARCA - CCDI,01/21/2018,07:00:00 PM,,,,,,,5D,,,
(Aula 3)  -  Curso de Capacitação para Líderes de RM da CCLP  (9hs ás 12hs)  (Por inscrição) Salas Fukuchi Kossen 1 2 e 3 ,01/21/2018,09:00:00 AM,,12:00:00 AM,,,Sala Fukuchi/ CCDI,,DS DF,,RM,CCLP
DIA DOS GRUPOS HORIZONTAIS,01/21/2018,,,,TRUE,,,,5D,,Todos,
Reunião de explanadores de comunidade – 19:00 – Manoel Kaikan (Regional Industrial),01/22/2018,07:00:00 PM,,,,,Manoel Kaikan,,5D,,Comunidade,Regional
(semana da organização de base),01/22/2018,,01/28/2018,,TRUE,,,,5D,,,
(Feriado - Cidade de São Paulo),01/25/2018,07:00:00 PM,,,TRUE,,,,5D,,,
Gongyo Comem. 43º aniv. fundação SGI-19h/Aud.Paz c/convite + CC/SR,01/26/2018,07:00:00 PM,,,,,por Localidade,,5D,,Todos,Distrito
(DEB) Curso Avançado do Budismo - para Grau de Professor Adjunto + Professor Adjunto e Líderes da DJ de RM/RE e acima - 14h às 17h - CCDI,01/27/2018,02:00:00 PM,,05:00:00 PM,,,,,5D,DEB,RM,
Líderes do Grupo Alvorada de Sub e RM da CCLP  (19h) Sala Fukuchi/CCDI,01/29/2018,07:00:00 PM,,,,,Sala Fukuchi/ CCDI,,DS,Alvorada,RM,CCLP
(Aula 1)  -  Curso de Capacitação para Líderes de RM da CCLP (Por inscrição) 19hs (Sala Fukuchi/ CCDI) ,01/30/2018,07:00:00 PM,,,,,Sala Fukuchi/ CCDI,,DS DF,,RM,CCLP
 (Aula 2)  -  Curso de Capacitação para Líderes de RM da CCLP (Por inscrição) 19hs (Sala Fukuchi/ CCDI) ,02/01/2018,07:00:00 PM,,,,,,,DS DF,,,
 Mamorukai Auditório – CC – Fujin Kaikan,02/02/2018,,,,,,,,DF,,,
DAIMOKU TOSSU DOS LÍDERES DA REGIONAL INDUSTRIAL,02/02/2018,07:00:00 PM,,,,,,,5D,,,
(CCult) Convenção Nacional - CCDI,02/03/2018,,,,,,,,5D,,,
Mamorukai Regional Vila Prudente 8h  às 11h,02/03/2018,08:00:00 AM,,11:00:00 AM,,,,,5D,,,
(DE + GCRL) DIA DO SUCESSOR IKEDA – POR LOCALIDADE,02/03/2018,,,,,,,,DE,,,
(DUNI) ENCONTRO DAS JOVENS ÁGUIAS – POR LOCALIDADE,02/03/2018,,,,,,,,DJ,,,
(CCult) Convenção Nacional - CCDI,02/04/2018,,,,,,,,5D,,,
 Encontro Líderes de RM e acima da Nova Era - Comem.25 anos Dia da DF-CCC (transmissão nos Kaikans p/Resp. Bloco e acima),02/04/2018,,,,,,,,DF,,,
DIA DOS GRUPOS HORIZONTAIS - Entrevista para os Grupos Horizontais,02/04/2018,,,,,,,,5D,,,
DEB da CCLP - 19h - CCDI (Sala Fukuchi) - (Estudo para explanadores Grau Médio/Superior - Resp. RM (Professor e Professor Adjunto),02/06/2018,07:00:00 PM,,,,,,,5D,,,
  Resp. Comunidade acima – matéria do Grupo Coração das Mulheres Soka– 19 h -Neves Kaikan,02/07/2018,07:00:00 PM,,,,,,,DF,,,
 Reunião de Líderes Reg  e Acima  +Grupo Alvorada + Ohjokai + Campestre - Sede regional 19 horas.,02/08/2018,07:00:00 PM,,,,,,,DS,,,
Ensaio Geral para Convenção Cultural Regional Industrial,02/10/2018,,,,,,,,5D,,,
 Grupo Flores do Campestre,02/15/2018,,,,,,,,DF,,,
Encontro da Filosofia Humanista (EFH) Sede Regional Vila Prudente 19 horas.,02/15/2018,07:00:00 PM,,,,,,,5D,,,
Gongyo Comem.796º aniv.Nichiren Daishonin-19h/Aud.Paz-c/convite + CC/SR,02/16/2018,07:00:00 PM,,,,,,,5D,,,
DEB da Regional - 18h  às 20:00- (Estudo para 1º e acima) - Manoel Kaikan,02/17/2018,06:00:00 PM,,08:00:00 PM,,,,,5D,,,
 Capri para líderes de distrito e acima - Sub Sudeste - 9h as 15h - (Colégio Brasilia - a confirmar),02/18/2018,09:00:00 AM,,03:00:00 PM,,,,,5D,,,
REUNIÃO EM LINGUA JAPONESA - 13:45 HS - AUDITORIO MONARCA - CCDI,02/18/2018,01:45:00 PM,,,,,,,5D,,,
Reunião de explanadores de comunidade – 19:00 – Manoel Kaikan (Regional Industrial) ,02/19/2018,07:00:00 PM,,,,,,,5D,,,
 (Semana da organização de base e Movimento Humanismo em Ação),02/20/2018,,,,,,,,5D,,,
   Mamorukai Josho,02/22/2018,,,,,,,,DF,,,
HOMBUTYOKAI DA REGIONAL INDUSTRIAL – 9:00,02/24/2018,09:00:00 AM,,,,,,,5D,,,
Eventos Comem 25º aniv. 4ª visita Pres. Ikeda ao Brasil - com convite,02/24/2018,,,,,,,,5D,,,
(CGESP) Movimento Humanismo em Ação - por Coord,02/24/2018,,,,,,,,5D,,,
Eventois Comem 25º aniv. 4ª visita Pres. Ikeda ao Brasil - com convite,02/25/2018,,,,,,,,5D,,,
(CGESP) Movimento Humanismo em Ação - por Coord,02/25/2018,,,,,,,,5D,,,
